POI_NM,CL_NM,CTPRVN_NM,SIGNGU_NM,RDNMADR_NM,LC_LO,LC_LA,GID_CD
운문호,대형호수/저수지,경상북도,청도군,,128.9320902,35.72930553,마마295490
유마사,유명사찰,전라남도,화순군,유마로,127.1712741,35.01829651,다라700693
안정사,유명사찰,경상남도,통영시,안정1길,128.3955927,34.94396916,라라817613
염불암,유명사찰,경기도,안양시 만안구,예술공원로245번길,126.934391,37.42872909,다사499367
귀신사,유명사찰,전라북도,김제시,청도6길,127.0469576,35.74531173,다마590499
오월드,동물원,대전광역시,중구,사정공원로,127.4003118,36.2884248,다바910101
곱창골목,먹거리/패션거리,서울특별시,중구,마장로9길,127.0193915,37.57017614,다사575524
음식거리,먹거리/패션거리,대전광역시,중구,중앙로,127.423752,36.32877277,다바931146
보정동카페거리,먹거리/패션거리,경기도,용인시 기흥구,,127.1100984,37.32161272,다사654248
팥빙수골목,먹거리/패션거리,부산광역시,중구,,129.0302058,35.10020184,마라394794
양평카페촌,먹거리/패션거리,경기도,양평군,강남로,127.4205151,37.50184944,다사929447
중앙로문화의거리,먹거리/패션거리,강원도,원주시,,127.9506276,37.34966599,라사399279
수원통닭거리,먹거리/패션거리,경기도,수원시 팔달구,,127.0177058,37.28006081,다사572202
웨딩의거리,먹거리/패션거리,전라북도,전주시 완산구,,127.1454194,35.81705517,다마679579
영덕블루로드,먹거리/패션거리,경상북도,영덕군,,129.3876721,36.36478622,마바693202
사리골참치거리,먹거리/패션거리,경기도,안산시 단원구,,126.8306432,37.31149413,다사406238
달맞이미술의거리,먹거리/패션거리,부산광역시,해운대구,,129.1721633,35.16096967,마라522863
웹툰스마힐링101,먹거리/패션거리,부산광역시,동래구,아시아드대로,129.0690187,35.206877,마라428912
해방촌예술마을,먹거리/패션거리,서울특별시,용산구,,126.9817231,37.54625669,다사542497
아산시온궁로문화의거리,먹거리/패션거리,충청남도,아산시,,127.0015345,36.78252099,다바555650
평택매운음식골목,먹거리/패션거리,경기도,평택시,통복로,127.0837189,36.99801578,다바629889
대관령옛길,먹거리/패션거리,강원도,강릉시,,128.7859762,37.70188403,마사133677
부귀메타세쿼이아길,먹거리/패션거리,전라북도,진안군,,127.3223244,35.80772789,다마839568
옥천암,지역사찰,서울특별시,서대문구,홍지문길,126.9539447,37.59698674,다사517554
향엄사,지역사찰,충청북도,영동군,어미실길,127.8074267,36.18426461,라마276986
용연사,지역사찰,경상북도,포항시 북구,양학로107번길,129.3426741,36.03031838,마마660830
용화사,지역사찰,경상남도,함안군,영운2길,128.3035929,35.26004293,라라730963
금강사,지역사찰,경상남도,창원시 마산회원구,합성북24길,128.5767479,35.24771238,라라979952
청명사,지역사찰,전라남도,목포시,유동로,126.380209,34.78706324,나라975441
석가사,지역사찰,대구광역시,수성구,달구벌대로568길,128.6676405,35.8460372,마마054616
흥부암,지역사찰,경상남도,김해시,전하로,128.8698592,35.22632736,마라246931
충의사,지역사찰,경상북도,상주시,충의로,128.2128392,36.44472143,라바638276
덕흥사,지역사찰,제주특별자치도,제주시,보배길,126.5414365,33.461384,다나109970
성불사,지역사찰,경상북도,경주시,포석정안길,129.2134521,35.80784906,마마548581
삼봉사,지역사찰,경기도,안성시,가사길,127.284062,37.01156791,다바807903
삼원사,지역사찰,경상북도,경주시,대동길,129.2122704,35.9604533,마마544751
관음사,지역사찰,경상북도,영주시,한성로,128.6489033,36.82814741,마바024706
지장사,지역사찰,부산광역시,남구,장고개로,129.0720855,35.13002804,마라432827
대방사,지역사찰,경상남도,사천시,삼천포대교로,128.0572153,34.93666991,라라508603
원효사,지역사찰,경상북도,경주시,신당소티고개길,129.2593564,35.90354856,마마587688
인월사,지역사찰,강원도,강릉시,경포로463번안길,128.9006323,37.80098251,마사233788
금강선원,지역사찰,강원도,양양군,왕생골길,128.4860235,37.91470816,라사866909
반송삼절사,지역사찰,부산광역시,해운대구,신반송로182번길,129.1613784,35.22947288,마라511939
약천사,지역사찰,강원도,홍천군,행치령로,128.1628597,37.73037131,라사584702
현암사,지역사찰,강원도,원주시,,128.0081022,37.43355723,라사449372
흥복사,지역사찰,강원도,태백시,피내골길,129.0254182,37.12954414,마사354045
청량사,지역사찰,서울특별시,동대문구,제기로31길,127.0477772,37.58822131,다사600544
대원사,지역사찰,전라남도,보성군,죽산길,127.1325993,34.96123634,다라664629
불지사,지역사찰,경상북도,영천시,,128.7697467,36.02983699,마마143821
보리사,지역사찰,경상북도,청송군,,128.9814498,36.20572751,마바331019
수암사,지역사찰,충청남도,아산시,서원안길,126.9631986,36.84223042,다바521716
선적사,지역사찰,경상북도,울진군,월송정로,129.4658473,36.74044479,마바755620
문수사,지역사찰,경상북도,영양군,관동길,129.0416381,36.76298858,마바375638
죽청사,지역사찰,경상북도,울진군,죽변7길,129.4190676,37.06133412,마바706975
금산사,지역사찰,전라남도,신안군,가룡길,126.3103291,34.89829746,나라913565
불영암,지역사찰,서울특별시,금천구,호암로,126.9218405,37.44609183,다사488387
천문사,지역사찰,경상북도,청도군,신원4길,129.0014292,35.66277011,마마358417
충효사,지역사찰,전라남도,화순군,벽동길,126.8888309,34.95501362,다라441624
성불사,지역사찰,부산광역시,해운대구,해운대로383번길,129.1440339,35.18163076,마라496886
두륜사,지역사찰,전라남도,해남군,민박촌길,126.6055589,34.50882979,다라178131
일월사,지역사찰,충청북도,음성군,하노길,127.6998819,36.90808093,라바178788
관음사,지역사찰,대전광역시,서구,복수동로52번길,127.3727907,36.29978147,다바885113
삼밀사,지역사찰,경상남도,창원시 진해구,장복산길,128.6612368,35.1756112,마라057873
